"FA番号","都道府県名","CATFlag","ILLflag","CopyService","LoanService","FAXservice","ILLStatus","館名","住所"
"FA001266","01","A","A","A","A","N","N","北海道教育大学 附属図書館 旭川館","北海道旭川市北門町9丁目"
"FA001277","01","A","A","N","N","N","A","北海道教育大学 附属図書館 釧路館","釧路市城山1-15-55"
"FA001288","01","A","A","A","A","N","A","北海道教育大学 附属図書館 岩見沢館","岩見沢市緑が丘2丁目34-1"
"FA001299","01","A","A","A","A","N","A","室蘭工業大学 附属図書館","北海道室蘭市水元町27番1号"
"FA001302","01","A","A","A","A","N","A","小樽商科大学 附属図書館","北海道小樽市緑3-5-21"
"FA001313","01","A","A","A","A","A","A","帯広畜産大学 附属図書館","帯広市稲田町西2線11番地"
"FA001324","01","A","A","A","A","A","A","旭川医科大学 図書館","旭川市緑が丘東2条1丁目1番1号"
"FA001335","01","A","A","A","A","N","A","北見工業大学 図書館","北見市公園町165番地"
"FA001346","02","A","A","A","A","N","A","弘前大学 附属図書館","青森県弘前市文京町1"
"FA001357","02","A","A","A","A","A","A","弘前大学 附属図書館 医学部分館","弘前市在府町5"
"FA001368","03","A","A","A","A","N","A","岩手大学 図書館","岩手県盛岡市上田3-18-8"
"FA001379","04","A","A","A","A","C","N","東北大学 附属図書館","仙台市青葉区川内27-1"
"FA001390","04","A","A","N","N","N","N","東北大学 附属図書館 北青葉山分館","仙台市青葉区荒巻字青葉6番3号"
"FA001404","04","A","A","A","N","A","A","東北大学 附属図書館 医学分館","仙台市青葉区星陵町1-1"
"FA001415","04","A","A","A","A","N","N","東北大学 附属図書館 工学分館","仙台市青葉区荒巻字青葉6-6-03"
"FA001426","04","A","A","A","A","N","N","東北大学 附属図書館 農学分館","仙台市青葉区荒巻字青葉468-1 青葉山コモンズ内"
"FA001437","04","A","A","N","N","N","N","東北大学 金属材料研究所 図書室","仙台市青葉区片平2丁目1-1"
"FA001448","04","A","A","N","N","N","N","東北大学 大学院生命科学研究科","宮城県仙台市青葉区片平2丁目1-1"
"FA001481","04","A","A","N","N","N","N","東北大学 流体科学研究所","仙台市青葉区片平2丁目1-1"
"FA001492","04","A","A","N","N","N","N","東北大学 電気通信研究所 図書室","仙台市青葉区片平2丁目1-1"
"FA001517","04","A","A","A","A","A","A","宮城教育大学 附属図書館","仙台市青葉区荒巻字青葉149"
"FA001528","05","A","A","A","N","N","A","秋田大学 附属図書館","秋田市手形学園町1-1"
"FA001539","05","A","A","A","N","N","A","秋田大学 附属図書館 医学部分館","秋田市本道1-1-1"
"FA001550","06","A","A","A","A","C","A","山形大学 小白川図書館","山形県山形市小白川町1-4-12"
"FA001561","06","A","A","N","N","N","N","山形大学 医学部図書館","山形県山形市飯田西2-2-2"
"FA001572","06","A","A","N","N","N","N","山形大学 工学部図書館","米沢市城南4-3-16"
"FA001583","06","A","A","A","A","N","N","山形大学 農学部図書館","鶴岡市若葉町1-23"
